granule_uid,obs_id,mass,period,semi_major_axis,star_spec_type,detection_type,star_distance,radius
14 Her b,77,9.1,1763.3,2.845,K0 V,Radial Velocity,18.1,
14 Her c,309,6.9,52596.0,27.4,K0 V,Radial Velocity,18.1,
1RXS 1609 b,501,14.0,,330.0,K7V,Imaging,145.0,1.7
2M 0103-55 (AB) b,1321,13.0,,84.0,M,Imaging,47.2,
2M 0219-39 b,2400,13.9,,156.0,M6,Imaging,39.4,1.44
2M 0441+23 b,661,7.5,,15.0,M8.5,Imaging,140.0,
2M 2236+4751 b,4065,12.5,,230.0,K7,Imaging,63.0,
2M J2126-81 b,2544,13.3,,6900.0,M2,Imaging,24.75,
2M0437 b,7993,4.0,,118.0,,Imaging,128.1,
2M1207 b,237,5.0,,42.0,,Imaging,,
2MASS J0030-1450,8066,10.0,,,,Imaging,,1.36
2MASS J0249-0557 (AB) c,6790,11.6,,,,Astrometry,,
2MASS J0459-2853,8073,8.0,,,,Imaging,,1.32
2MASS J0642+4101,8075,12.0,,,,Imaging,,1.23
2MASS J0718-6415,8076,3.0,,,,Imaging,,1.29
2MASS J0809+4434,8077,13.0,,,,Imaging,,1.35
2MASS J1119-1137 b,6572,3.7,32850.0,,L7,Imaging,,
2MASS J1155-7919 b,7285,10.0,,582.0,M3,Imaging,101.15,
2MASS J2002-0521,8082,13.0,,,,Imaging,,1.36
2MASS J2117-2940,8083,7.0,,,,Imaging,,1.38
2MASS J2206+3301,8085,8.0,,,,Imaging,,1.3
55 Cnc b,25,0.84,14.65314,0.11339,K0IV-V,Radial Velocity,12.34,
2MASSW J2208136+292121,7936,10.0,,,,Imaging,,
51 Eri b,2428,2.6,10260.0,11.1,F0IV,Imaging,29.4,1.11
51 Peg b,12,0.47,4.2308,0.052,G2 IV,Radial Velocity,14.7,1.9
55 Cnc e,243,0.02703,0.7365478,0.015439,K0IV-V,Primary Transit,12.34,0.1737
AB Aur b,522,9.0,,93.9,A0V,Imaging,144.0,
AB Dor C b,7209,13.0,,0.58,M8,Imaging,15.8,
AB Pic b,280,13.5,,275.0,K2 V,Imaging,47.3,
AU Mic b,7424,0.0368,8.463,0.0645,M1V,Primary Transit,9.79,0.3908
AU Mic c,7546,0.0698,18.859019,0.1101,M1V,Primary Transit,9.79,0.3131
BD+20 594 b,2546,0.07,41.6855,0.241,G,Primary Transit,180.39,0.23
BLG-1691L b,8232,0.046,,2.46,,Microlensing,7290.0,
CD Cet b,7415,0.01244,2.2907,0.0185,M5.0,Radial Velocity,8.609,
CFBD 1458 B,7386,10.5,,2.6,,Imaging,,
CHXR 73 b,833,12.0,,200.0,M3.25,Imaging,,
CI Tau b,3941,11.6,8.9891,,K4IV,Radial Velocity,158.0,
COCONUTS-2 b,7920,6.4,,6471.0,M3,Imaging,10.89,1.12
CWISEP J144606.62-231717.8,7516,11.0,,,,Imaging,,
CWISEP J1935-1546,7146,11.0,,,,Imaging,,
CoRoT-1 b,401,1.03,1.50896848,0.0254,G0V,Primary Transit,460.0,1.49
CoRoT-10 b,662,2.75,13.2406,0.1055,K1V,Primary Transit,345.0,0.97
CoRoT-11 b,645,2.33,2.994325,0.04351,F6V,Primary Transit,560.0,1.43
CoRoT-12 b,649,0.917,2.8280517,0.04016,G2V,Primary Transit,1150.0,1.44
CoRoT-13 b,651,1.308,4.0350906,0.051,G0V,Primary Transit,1310.0,0.885
CoRoT-14 b,652,7.6,1.51214,0.027,F9V,Primary Transit,1340.0,1.09
CoRoT-16 b,702,0.535,5.35227,0.0618,G5V,Primary Transit,840.0,1.17
CoRoT-17 b,703,2.43,3.768125,0.0461,G2V,Primary Transit,920.0,1.02
CoRoT-18 b,704,3.47,1.90009057,0.0295,G9V,Primary Transit,870.0,1.31
CoRoT-19 b,705,1.11,3.8971372,0.0518,F9V,Primary Transit,800.0,1.29
CoRoT-2 b,415,3.31,1.7429964,0.0281,G7V,Primary Transit,300.0,1.465
CoRoT-20 b,826,4.24,9.2431839,0.0902,G2V,Primary Transit,1230.0,0.84
CoRoT-21 b,846,2.26,2.72474,0.0417,F8IV,Primary Transit,,1.3
CoRoT-22 b,847,0.06,9.75598,0.092,G0IV,Primary Transit,592.0,0.4354
CoRoT-23 b,862,2.8,3.6314,0.0477,G0V,Primary Transit,600.0,1.08
CoRoT-24 b,855,0.018,5.1134,0.056,K1V,Primary Transit,600.0,0.33
CoRoT-24 c,856,0.088,11.759,0.098,K1V,Primary Transit,600.0,0.44
CoRoT-25 b,1240,0.27,4.86069,0.0578,G0V,Primary Transit,1000.0,1.08
CoRoT-26 b,1243,0.52,4.20474,0.0526,G8IV,Primary Transit,1670.0,1.26
CoRoT-27 b,1208,10.39,3.57532,0.0476,G2,Primary Transit,,1.007
CoRoT-29 b,1210,0.85,2.85057,0.039,KOV,Primary Transit,765.0,0.9
CoRoT-30 b,1211,2.9,9.06005,0.0844,G3V,Primary Transit,960.0,1.009
CoRoT-31 b,1212,0.84,4.62941,0.0586,G2IV,Primary Transit,2190.0,1.46
CoRoT-32 b,6619,0.15,6.71837,0.071,G0VI,Primary Transit,,0.57
CoRoT-35 b,2644,1.1,3.22748,0.0429,F3V,Primary Transit,1140.0,1.68
CoRoT-36 b,3931,0.68,5.616531,0.066,,Primary Transit,954.0,1.41
CoRoT-4 b,470,0.72,9.20166201,0.09,F8V,Primary Transit,,1.19
CoRoT-5 b,471,0.467,4.0379148,0.04947,F9V,Primary Transit,400.0,1.33
CoRoT-6 b,528,2.96,8.886593,0.0855,F9V,Primary Transit,,1.166
CoRoT-7 b,526,0.041812,0.8535,0.0172,K0V,Primary Transit,150.0,0.136
DANCe J16041234-2127472,8358,10.0,,,,Imaging,,
CoRoT-8 b,544,0.2158,6.21229,0.063,K1V,Primary Transit,380.0,0.5692
CoRoT-9 b,557,0.84,95.273804,0.407,G3V,Primary Transit,460.0,0.94
DANCe J15454024-2422072,8351,8.0,,,,Imaging,,
DANCe J15481655-2307430,8360,12.0,,,,Imaging,,
DANCe J15582895-2530319,8361,7.0,,,,Imaging,,
DANCe J16053908-2403330,8356,11.0,,,,Imaging,,
DANCe J16064467-2033428,8352,12.0,,,,Imaging,,
DANCe J16064553-2121595,8349,10.0,,,,Imaging,,
DANCe J16081299-2304316,8348,4.0,,,,Imaging,,
DANCe J16091010-1930376,8350,8.0,,,,Imaging,,
DANCe J16134589-2442310,8347,10.0,,,,Imaging,,
DANCe J16135217-2443562,8346,10.0,,,,Imaging,,
DANCe J16140756-2211524,8353,11.0,,,,Imaging,,
DANCe J16255679-2113354,8354,12.0,,,,Imaging,,
DANCe J16393029-2454135,8357,11.0,,,,Imaging,,
DH Tau b,832,11.0,,330.0,M0.5V,Imaging,,
DP Leo (AB) b,628,6.05,10230.0,8.19,AM Her,Pulsar,,
DS Tuc A b,7077,0.0453,8.138268,0.0795,G6V,Primary Transit,44.12,0.5085
EPIC 201295312 b,2557,0.0379,5.65639,,,Primary Transit,483.19,0.245
EPIC 205084841 b,6997,0.3883,11.310099,0.104,,Primary Transit,860.4,1.561
EPIC 211442297 b,6618,0.84,20.273034,0.1367,G4,Primary Transit,418.58,1.115
EPIC 211945201 b,6742,0.085,19.49221,0.1493,G0,Primary Transit,182.69,0.514
EPIC 212737443 b,7137,0.02907,13.603,0.098,K3,Primary Transit,347.45,0.231
EPIC 212737443 c,7138,0.0303,65.55,0.28,K3,Primary Transit,347.45,0.24
EPIC 246193072 b,7527,0.26,12.4551225,0.1016,,Primary Transit,230.4,0.774
EPIC 246851721 b,6791,3.0,6.180235,0.07229,F5V,Primary Transit,376.0,1.051
Exomoon Kepler-1708 b-i,8059,0.116,4.6,0.05,,Primary Transit,1667.0,0.2329
Fomalhaut b,291,0.208,320000.0,117.0,A3 V,Imaging,7.704,
G 9-40 b,7229,0.013,5.7459982,0.0418,M2.5 V,Primary Transit,27.93,0.17
GJ 1132 b,2464,0.00522,1.628931,0.0154,M3.5,Primary Transit,12.04,0.1035
GJ 1214 b,619,0.02571,1.580404497,0.01411,M,Primary Transit,13.0,0.24463
GJ 1252 b,7246,0.00415,0.5182349,0.00916,,Primary Transit,20.38,0.1053
GJ 143 b,6930,0.0714,35.61253,0.1932,K4.5V,Primary Transit,16.33,0.2329
GJ 143 c,6975,0.01164,7.78993,0.0695,K4.5V,Primary Transit,16.33,0.07958
GJ 2030 c,8380,12.934,25635.0,16.752,G5/6V,Astrometry,37.52,
GJ 273 b,6548,0.00922,18.64,0.091,M3.5,Radial Velocity,3.8,
GJ 273 c,6549,0.00374,4.72322,0.036,M3.5,Radial Velocity,3.8,
GJ 273 d,7135,0.03448,413.9,0.712,M3.5,Radial Velocity,3.8,
GJ 273 e,7136,0.0297,542.0,0.849,M3.5,Radial Velocity,3.8,
GJ 3090 b,8338,0.01051,2.8531054,0.03165,,Primary Transit,22.444,0.19
GJ 3470 b,1140,0.03958,3.336649,0.03557,M1.5,Primary Transit,30.7,0.37380742940036
GJ 3473 b,7501,0.00585,1.1980035,0.01589,M4V,Primary Transit,27.39,0.11277
GJ 357 b,7109,0.006566,3.93086,0.033,M2.5 V,Primary Transit,9.444,0.10411
GJ 3634 b,816,0.026,2.64561,0.0287,M2.5,Radial Velocity,19.8,
GJ 367  b,8105,0.00047,0.3219659,0.0069,M1,Primary Transit,9.41,0.0526
GJ 3929 b,8113,0.00381,2.6162745,0.02569,M3.5V,Primary Transit,15.83,0.1026
GJ 436 b,241,0.07,2.64394,0.02887,M2.5,Primary Transit,10.2,0.38
GJ 486 b,7818,0.00887,1.467119,0.01734,M3.5V,Primary Transit,8.0761,0.11643
GJ 504 b,1307,4.0,,43.5,GOV,Imaging,17.56,0.96
GJ 676 A b,603,6.7,1052.1,1.812,M0V,Radial Velocity,16.45,
GJ 676 A c,1285,6.8,7337.0,6.6,M0V,Radial Velocity,16.45,
GJ 876 b,31,3.6,61.03474,0.214,M4 V,Radial Velocity,4.7,
GJ 876 d,289,0.021741,1.938,0.021,M4 V,Radial Velocity,4.7,
GJ 876 e,693,0.04855,124.4,0.345,M4 V,Radial Velocity,4.7,
GJ 896A b,8381,2.26,,0.64282,M4,Astrometry,6.2565,
GJ 9827 b,6623,0.01532,1.2089765,0.01866,K6V,Primary Transit,30.3,0.13641
GJ 9827 c,6624,0.00604,3.648086,0.03896,K6V,Primary Transit,30.3,0.107
GJ 9827 d,6625,0.01076,6.20183,0.0555,K6V,Primary Transit,30.3,0.17441
GQ Lup b,238,0.013,,32.0,K7eV,Imaging,140.0,1.8
GU Psc b,2265,11.0,,2000.0,M3,Imaging,48.0,1.35
Gaia-1 b,8214,1.68,3.042524,0.04047,,Primary Transit,368.3,1.229
Gaia-2 b,8215,0.773,3.6915237,0.0467,,Primary Transit,207.2,1.327
HAT-P-1 b,345,0.525,4.46529976,0.05561,GOV,Primary Transit,139.0,1.319
HAT-P-10 A b,506,0.46,3.722469,0.0439,K3V,Primary Transit,125.0,1.045
HAT-P-11 b,532,0.0736,4.887802443,0.053,K4,Primary Transit,37.89,0.389
HAT-P-11 c,6864,2.3,3397.0,4.13,K4,Radial Velocity,37.89,
HAT-P-12 b,549,0.210489884529,3.2130598,0.0384,,Primary Transit,142.5,0.949
HAT-P-13 b,558,0.85,2.916243,0.0426,G4,Primary Transit,214.0,1.28
HAT-P-14 b,650,2.444,4.627686,0.0606,F,Primary Transit,205.0,1.01
HAT-P-15 b,680,1.946,10.863502,0.0964,G5,Primary Transit,190.0,1.072
HAT-P-16 b,676,4.193,2.77596,0.0413,F8,Primary Transit,235.0,1.289
HAT-P-17 b,738,0.534,10.338523,0.0882,K,Primary Transit,90.0,1.01
HAT-P-18 b,723,0.183,5.508029,0.0559,K,Primary Transit,166.0,0.947
HAT-P-19 b,724,0.292,4.008784,0.0466,K,Primary Transit,215.0,1.132
HAT-P-2 b,402,8.74,5.6334729,0.0674,F8,Primary Transit,118.0,0.951
HAT-P-20 b,734,7.246,2.875317,0.0361,K7,Primary Transit,70.0,0.867
HAT-P-21 b,735,4.063,4.124461,0.0494,G3,Primary Transit,254.0,1.024
HAT-P-22 b,736,2.147,3.21222,0.0414,G5,Primary Transit,82.0,1.08
HAT-P-23 b,737,2.09,1.212884,0.0232,G5,Primary Transit,393.0,1.368
HAT-P-24 b,733,0.685,3.35524,0.0465,F8,Primary Transit,405.0,1.242
HAT-P-25 b,740,0.567,3.652836,0.0466,G5,Primary Transit,297.0,1.19
HAT-P-26 b,748,0.0585,4.234516,0.0479,K1,Primary Transit,134.0,0.5647
HAT-P-27 b,806,0.66,3.0395803,0.0403,G8,Primary Transit,204.0,1.055
HAT-P-28 b,834,0.626,3.257215,0.0434,G3,Primary Transit,395.0,1.212
HAT-P-29 b,835,0.778,5.723186,0.0667,F8,Primary Transit,322.0,1.107
HAT-P-3 b,413,0.591,2.899703,0.03866,K,Primary Transit,130.0,0.827
HAT-P-30 b,837,0.711,2.810595,0.0419,F,Primary Transit,193.0,1.34
HAT-P-31 b,857,2.171,5.005425,0.055,,Primary Transit,354.0,1.07
HAT-P-32 b,859,0.75,2.15000825,0.03427,F/G,Primary Transit,320.0,1.789
HAT-P-33 b,860,0.763,3.474474,0.0503,F,Primary Transit,419.0,1.827
HAT-P-43 b,1269,0.66,3.332688,0.0443,,Primary Transit,543.0,1.283
HAT-P-34 b,1044,3.328,5.452654,0.0677,,Primary Transit,257.0,1.107
HAT-P-35 b,1045,1.054,3.646706,0.0498,,Primary Transit,535.0,1.332
HAT-P-36 b,1046,1.832,1.327347,0.0238,,Primary Transit,317.0,1.264
HAT-P-37 b,1047,1.169,2.797436,0.0379,,Primary Transit,411.0,1.178
HAT-P-38 b,1056,0.267,4.640382,0.0523,G,Primary Transit,249.0,0.825
HAT-P-39 b,1143,0.599,3.54387,0.0509,,Primary Transit,642.0,1.571
HAT-P-4 b,419,0.68,3.0565114,0.0446,F,Primary Transit,310.0,1.27
HAT-P-40 b,1144,0.615,4.457243,0.0608,,Primary Transit,501.0,1.73
HAT-P-41 b,1145,0.8,2.694047,0.0426,,Primary Transit,344.0,1.685
HAT-P-42 b,1268,0.975,4.641876,0.0575,,Primary Transit,447.0,1.277
HAT-P-44 b,1328,0.392,4.301217,0.0507,,Primary Transit,374.0,1.28
HAT-P-44 c,1329,1.6,219.9,0.699,,Primary Transit,374.0,
HAT-P-45 b,1330,0.892,3.128992,0.0452,,Primary Transit,305.0,1.426
HAT-P-46 b,1331,0.493,4.463129,0.0577,,Primary Transit,296.0,1.284
HAT-P-46 c,1333,2.0,77.7,0.387,,Primary Transit,296.0,
HAT-P-47 b,3964,0.206,4.732182,0.0615,,Primary Transit,268.0,1.313
HAT-P-48 b,3965,0.168,4.40865,0.0543,,Primary Transit,305.0,1.131
HAT-P-49 b,1511,1.73,2.691548,0.0438,A5,Primary Transit,322.0,1.413
HAT-P-5 b,423,1.06,2.788491,0.04079,,Primary Transit,340.0,1.252
HAT-P-50 b,2380,1.36,3.1220109,0.0453,,Primary Transit,597.0,1.288
HAT-P-51 b,2381,0.309,4.2180278,0.05069,,Primary Transit,470.0,1.293
HAT-P-52 b,2382,0.819,2.7535953,0.03694,,Primary Transit,385.0,1.009
HAT-P-53 b,2383,1.487,1.9616241,0.03159,,Primary Transit,719.0,1.318
HAT-P-54 b,2264,0.76,3.799847,0.04117,K,Primary Transit,135.8,0.944
HAT-P-55 b,2431,0.582,3.5852467,0.04604,,Primary Transit,480.0,1.182
HAT-P-56 b,2409,2.31,2.79083,0.0423,F8,Primary Transit,323.5,1.51
HAT-P-57 b,2462,1.85,2.465295,0.0406,,Primary Transit,303.0,1.413
HAT-P-58 b,7436,0.372,4.013837,0.04994,,Primary Transit,519.0,1.332
HAT-P-59 b,7437,1.54,4.1419771,0.05064,,Primary Transit,267.3,1.123
HAT-P-6 b,424,1.057,3.853003,0.05235,F,Primary Transit,200.0,1.33
HAT-P-60 b,7438,0.574,4.7947813,0.06277,,Primary Transit,235.4,1.631
HAT-P-61 b,7439,1.057,1.90231289,0.0301,,Primary Transit,343.2,0.899
HAT-P-62 b,7440,0.761,2.6453235,0.03772,,Primary Transit,353.1,1.073
HAT-P-63 b,7441,0.614,3.377728,0.04294,,Primary Transit,408.0,1.119
HAT-P-64 b,7442,0.58,4.007232,0.05387,,Primary Transit,635.0,1.703
HAT-P-65 b,4056,0.527,2.6054552,0.03951,,Primary Transit,841.0,1.89
HAT-P-66 b,4057,0.783,2.972086,0.04363,,Primary Transit,927.0,1.59
HAT-P-67 b,6516,0.34,4.81010205,0.06505,F,Primary Transit,320.0,2.085
HAT-P-68 b,7533,0.724,2.29840551,0.02996,,Primary Transit,202.0,1.072
HAT-P-69 b,7121,3.58,4.7869491,0.06555,,Primary Transit,343.9,1.676
HAT-P-7 b,457,1.741,2.204735471,0.0379,,Primary Transit,320.0,1.431
HAT-P-70 b,7122,6.78,2.74432452,0.04739,,Primary Transit,329.0,1.87
HAT-P-8 b,529,1.34,3.0763402,0.0449,,Primary Transit,230.0,1.5
HAT-P-9 b,488,0.67,3.922814,0.053,F,Primary Transit,480.0,1.4
HATS-1 b,1134,1.855,3.446459,0.0444,,Primary Transit,303.0,1.302
HATS-10 b,2377,0.526,3.312846,0.0449,,Primary Transit,496.0,0.969
HATS-11 b,2595,0.85,3.619188,0.0507,G0,Primary Transit,967.34,1.609
HATS-12 b,2596,2.38,3.142702,0.0441,F,Primary Transit,512.41,0.692
HATS-13 b,2378,0.543,3.0440499,0.04057,,Primary Transit,476.0,1.212
HATS-14 b,2379,1.071,2.7667641,0.03815,,Primary Transit,513.0,1.039
HATS-15 b,2627,2.17,1.74748753,0.02712,,Primary Transit,689.0,1.105
HATS-16 b,2628,3.27,2.686502,0.03744,,Primary Transit,774.0,1.3
HATS-17 b,2597,1.338,16.254611,0.1308,G,Primary Transit,339.0,0.777
HATS-18 b,3954,1.98,0.8378434,0.01761,G,Primary Transit,645.0,1.337
HATS-19 b,3994,0.427,4.569673,0.0589,G0,Primary Transit,780.0,1.66
HATS-2 b,1270,1.345,1.354133,0.023,K,Primary Transit,360.0,1.168
HATS-20 b,3995,0.273,3.7992969,0.04619,G9V,Primary Transit,454.0,0.776
HATS-21 b,3996,0.332,3.5543973,0.04676,G4V,Primary Transit,286.0,1.123
HATS-22 b,3989,2.74,4.7228124,0.05025,,Primary Transit,207.9,0.953
HATS-23 b,3990,1.47,2.1605156,0.03397,,Primary Transit,747.0,1.86
HATS-24 b,3991,2.44,1.3484954,0.02547,,Primary Transit,510.0,1.487
HATS-25 b,4011,0.613,4.2986432,0.05163,G,Primary Transit,466.0,1.26
HATS-26 b,4012,0.65,3.3023881,0.04735,F,Primary Transit,907.0,1.75
HATS-27 b,4013,0.53,4.637038,0.0611,F,Primary Transit,840.0,1.5
HATS-28 b,4014,0.672,3.1810781,0.04131,G,Primary Transit,521.0,1.194
HATS-29 b,4015,0.653,4.6058749,0.05475,G,Primary Transit,351.0,1.251
HATS-3 b,1310,1.071,3.547851,0.0485,F,Primary Transit,453.0,1.381
HATS-30 b,4016,0.706,3.1743516,0.04354,,Primary Transit,339.0,1.175
HATS-31 b,3983,0.88,3.37796,0.0478,,Primary Transit,872.0,1.64
HATS-32 b,3984,0.92,2.8126548,0.04024,,Primary Transit,839.0,1.249
HATS-33 b,3985,1.192,2.5495551,0.03727,,Primary Transit,355.0,1.23
HATS-34 b,3987,0.941,2.1061607,0.03166,,Primary Transit,532.0,1.43
HATS-35 b,3988,1.222,1.8209933,0.03199,,Primary Transit,557.0,1.464
HATS-36 b,6570,2.79,4.175186,0.0523,G0 V,Primary Transit,878.65,1.153
HATS-37A b,7434,0.099,4.3315366,0.04913,,Primary Transit,211.1,0.606
HATS-38 b,7435,0.074,4.375021,0.05036,,Primary Transit,347.7,0.614
HATS-39 b,6736,0.63,4.5776348,0.06,,Primary Transit,773.0,1.57
HATS-4 b,1528,1.323,2.516729,0.0362,,Primary Transit,420.0,1.02
HATS-40 b,6737,1.59,3.2642736,0.04997,,Primary Transit,1431.0,1.58
HATS-41 b,6738,9.7,4.193649,0.0583,,Primary Transit,800.0,1.33
HATS-42 b,6739,1.88,2.292102,0.03689,,Primary Transit,942.0,1.4
HATS-43 b,6593,0.261,4.3888497,0.04944,K,Primary Transit,341.0,1.18
HATS-44 b,6594,0.56,2.7439004,0.03649,K,Primary Transit,463.0,1.067
HATS-45 b,6595,0.7,4.1876244,0.05511,F,Primary Transit,818.0,1.286
HATS-46 b,6596,0.173,4.7423729,0.05367,G,Primary Transit,448.0,0.903
HATS-47 b,7295,0.369,3.9228038,0.04269,,Primary Transit,301.7,1.117
HATS-48A b,7296,0.243,3.1316666,0.03769,,Primary Transit,265.4,0.8
HATS-49 b,7297,0.353,4.1480467,0.04515,,Primary Transit,324.6,0.765
HATS-5 b,1503,0.237,4.763387,0.0542,,Primary Transit,257.0,0.912
HATS-50 b,6686,0.39,3.8297015,0.05046,,Primary Transit,717.0,1.13
HATS-51 b,6687,0.768,3.3488702,0.04639,,Primary Transit,478.0,1.41
HATS-52 b,6688,2.24,1.3665436,0.02498,,Primary Transit,631.0,1.382
HATS-53 b,6689,0.595,3.8537768,0.04753,,Primary Transit,613.0,1.34
HATS-54 b,6952,0.76,2.5441828,0.03763,,Primary Transit,769.0,1.067
HATS-55 b,6953,0.921,,0.05412,,Primary Transit,623.6,1.251
HATS-56 b,6954,0.602,4.324799,0.06043,,Primary Transit,577.1,1.688
HATS-57 b,6955,3.147,2.350621,0.03493,,Primary Transit,280.0,1.13
HATS-58A b,6956,1.03,4.2180896,0.05798,,Primary Transit,492.0,1.095
HATS-59 b,6746,0.806,5.416081,0.06112,,Primary Transit,654.0,1.126
HATS-6 b,2298,0.319,3.3252725,0.03623,M1V,Primary Transit,148.4,0.998
HATS-60 b,6834,0.662,3.560829,0.04708,,Primary Transit,494.7,1.153
HATS-61 b,6835,3.4,7.817953,0.07908,,Primary Transit,694.2,1.195
HATS-62 b,6836,0.179,3.2768837,0.04163,,Primary Transit,515.9,1.055
HATS-63 b,6838,0.96,3.0566527,0.04026,,Primary Transit,634.4,1.207
HATS-64 b,6839,0.96,4.908897,0.06562,,Primary Transit,1087.0,1.679
HATS-65 b,6840,0.821,3.105161,0.04497,,Primary Transit,491.0,1.501
HATS-66 b,6841,5.33,3.1414391,0.04714,,Primary Transit,1542.0,1.411
HATS-67 b,6846,1.45,1.6091788,0.03032,,Primary Transit,983.0,1.685
HATS-68 b,6847,1.29,3.5862202,0.05071,,Primary Transit,619.0,1.2321
HATS-69 b,6848,0.577,2.2252577,0.03211,,Primary Transit,420.3,0.945
HATS-7 b,2626,0.12,3.185315,0.04012,K2,Primary Transit,257.0,0.563
HATS-70 b,6888,12.9,1.8882378,0.03632,,Primary Transit,1307.0,1.384
HATS-71A b,6973,0.45,3.7955213,0.03946,M3,Primary Transit,140.68,1.08
HATS-72 b,7298,0.1254,7.3279474,0.066517,,Primary Transit,127.66,0.7224
HATS-74A b,8024,1.46,1.73185606,0.02384,,Primary Transit,286.6,1.032
HATS-75 b,8025,0.491,2.7886556,0.032742,,Primary Transit,195.3,0.884
HATS-76 b,8026,2.629,1.9416423,0.02658,,Primary Transit,390.0,1.079
HATS-77 b,8027,1.374,3.0876262,0.03607,,Primary Transit,414.0,1.165
HATS-8 b,2408,0.138,3.583893,0.04667,G2V,Primary Transit,829.0,0.873
HATS-9 b,2376,0.839,1.915291,0.0312,,Primary Transit,654.36,1.236
HD 102195 b,314,0.46,4.114,0.049,K0V,Radial Velocity,28.98,
HD 106315 b,6506,0.03964,9.55237,0.0907,F5 V,Primary Transit,109.0,0.218
HD 106315 c,6507,0.04782,21.05704,0.1536,F5 V,Primary Transit,109.0,0.388
HD 106906 (AB) b,1483,11.0,,850.0,F5V,Imaging,92.0,
HD 10697 b,95,6.837,1075.69,2.14,G5 IV,Radial Velocity,32.56,1.152
HD 110113 b,7559,0.01432,2.541,0.035,,Primary Transit,106.3,0.1829
HD 114783 b,104,6.3,493.7,1.16,K0,Radial Velocity,20.4,
HD 118203 b,302,2.173,6.13498,0.07082,K0,Radial Velocity,88.6,1.133
HD 128311 c,266,4.19,919.0,1.76,K0V,Radial Velocity,16.6,
HD 130322 b,21,1.05,10.72,0.09,K0 V,Radial Velocity,30.0,
HD 132406 b,411,6.7,974.0,1.98,G0V,Radial Velocity,71.0,
HD 136352 b,968,0.01454,11.57779,0.0969,G4V,Radial Velocity,14.8,0.13222
HD 136352 c,969,0.03552,27.5909,0.1729,G4V,Radial Velocity,14.8,0.183854
HD 136352 d,970,0.02775,107.63,0.4285,G4V,Radial Velocity,14.8,0.2284
HD 137496 b,8016,0.01271,1.62116,0.02732,,Primary Transit,,0.1169
HD 1397 b,6873,0.415,11.53533,0.1097,G5III,Primary Transit,79.31,1.026
HD 149026 b,290,0.357,2.8758916,0.04288,G0 IV,Primary Transit,78.9,0.718
HD 152843 b,7855,0.03637,11.6264,0.1053,G0,Primary Transit,107.898,0.3042
HD 152843 c,7856,0.0865,27.13,,G0,Primary Transit,107.898,0.5201
HD 154345 b,338,1.3,3538.0,4.3,G8V,Radial Velocity,18.06,
HD 163296 b,4079,1.0,,94.0,A1V,Other,122.0,
HD 163296 c,4080,0.3,,261.0,A1V,Other,122.0,
HD 164604 b,640,14.3,641.47,1.331,K3.5V,Radial Velocity,39.4,
HD 169142 b,2297,2.2,,36.4,A7V,Imaging,117.0,
HD 17156 b,387,3.195,21.2163979,0.1623,G0,Primary Transit,78.24,1.095
HD 175167 b,643,9.5,1290.0,2.4,G5 IV/V,Radial Velocity,67.02,
HD 176051 b,752,1.5,1016.0,1.76,,Astrometry,14.99,
HD 181720 b,580,12.12,956.0,1.78,G1V,Radial Velocity,56.0,
