granule_uid,obs_id,mass,period,semi_major_axis,star_spec_type,detection_type,star_distance,radius
TOI-2445 b,8094,0.006,0.3711281,0.0064,M,Primary Transit,48.6,0.1115
TOI-2497 b,8208,5.21,10.655661,0.1167,,Primary Transit,285.1,1.0
TOI-251 b,7539,1.0,4.93777,0.05741,,Primary Transit,99.52,0.2444
TOI-2567 b,8221,0.2,5.983944,0.0672,,Primary Transit,518.4,0.975
TOI-257 b,7271,0.134,18.38827,0.1523,F8/G0V,Primary Transit,77.07,0.626
TOI-2669 b,8063,0.61,6.2034,,,Primary Transit,,1.76
TOI-269 b,7850,0.0277,3.6977104,0.0345,M2V,Primary Transit,57.023,0.2471
TOI-270 b,7048,0.006,3.36008,0.0306,M3.0V,Primary Transit,22.453,0.11125
TOI-270 c,7049,0.0208,5.660172,0.0472,M3.0V,Primary Transit,22.453,0.2159
TOI-270 d,7050,0.017,11.38014,0.0733,M3.0V,Primary Transit,22.453,0.19
TOI-3331 b,8222,2.27,2.0180231,0.03144,,Primary Transit,224.9,1.158
TOI-3362 b,7973,5.029,18.09547,0.153,G5,Primary Transit,370.85,1.142
TOI-3540 b,8223,1.18,3.119999,0.04289,,Primary Transit,282.4,2.1
TOI-3629 b,8092,0.26,3.936551,0.043,,Primary Transit,129.7,0.74
TOI-3693 b,8224,1.02,8.088516,0.081,,Primary Transit,176.8,1.124
TOI-3714 b,8091,0.7,2.154849,0.027,,Primary Transit,112.5,1.01
TOI-3757 b,8147,0.2684,3.438753,0.03845,,Primary Transit,177.4,1.07
TOI-402 b,7046,0.0227,4.75642,0.05245,,Primary Transit,44.86,0.1516
TOI-402 c,7047,0.02766,17.1784,0.1235,,Primary Transit,44.86,0.225
TOI-4137 b,8225,1.01,3.8016122,0.05222,,Primary Transit,345.9,1.211
TOI-4138 b,7983,0.67,3.660028,0.051,,Primary Transit,507.0,1.49
TOI-421 b,7388,0.05107,16.06815,0.1182,,Primary Transit,,0.4612
TOI-421 c,7389,0.02218,5.19676,0.0557,,Primary Transit,,0.2427
TOI-431 b,7948,0.00966,0.490047,0.0113,,Primary Transit,32.61,0.1142
TOI-431 c,7949,2.84,4.8494,0.052,,Radial Velocity,32.61,
TOI-431 d,7950,0.0311,12.46103,0.098,,Primary Transit,32.61,0.2935
TOI-4329 b,8064,0.45,2.9233,,,Primary Transit,,1.5
TOI-4479 b,8239,0.0261,1.1589,0.0164,M3,Primary Transit,80.6,0.2516
TOI-4562 b,8378,3.29,225.11757,0.771,F7V,Primary Transit,346.9,1.072
TOI-481 b,7493,1.53,10.33111,0.097,,Primary Transit,,0.99
TOI-500 b,8107,0.005,0.5481579,0.0128,,Primary Transit,47.4,0.1035
TOI-5153 b,8254,3.26,20.33003,0.158,F8V,Primary Transit,390.1,1.06
TOI-5205 b,8414,1.08,1.630757,0.0199,M4.0,Primary Transit,86.865,1.035
TOI-530 b,7984,0.4,6.387597,0.052,,Primary Transit,147.7,0.83
TOI-532 b,7939,0.1935,2.32666508,0.0296,,Primary Transit,134.61,0.5192
TOI-544 b,8104,0.016,1.548351,0.0251,,Primary Transit,41.1,0.1811
TOI-5542 b,8424,1.32,75.12375,0.332,,Primary Transit,353.7,1.009
TOI-558 b,7799,3.61,14.574071,0.1291,,Primary Transit,401.0,1.086
TOI-559 b,7800,6.01,6.9839095,0.0723,,Primary Transit,233.2,1.091
TOI-561 b,7486,0.00705,0.4465688,0.0106,,Primary Transit,86.01,0.1222
TOI-561 c,7487,0.0208,10.778831,0.089,,Primary Transit,86.01,0.2596
TOI-561 d,7529,0.03823,25.7124,0.159,,Primary Transit,86.01,0.2516
TOI-561 e,7530,0.0428,77.03,0.33,,Primary Transit,86.01,0.2275
TOI-564 b,7255,1.463,1.651144,0.02734,,Primary Transit,200.7,1.02
TOI-620 b,8158,0.0485,5.0988179,0.04825,M2.5V,Primary Transit,33.022,0.3354
TOI-628 b,7550,6.33,3.4095675,0.0486,,Primary Transit,178.5,1.06
TOI-640 b,7551,0.88,5.0037775,0.06608,,Primary Transit,341.9,1.771
TOI-674 b,7891,0.0739,1.977143,0.0231,,Primary Transit,46.16,0.4693
TOI-677 b,7211,1.236,11.2366,0.1038,,Primary Transit,143.0,1.179
TOI-700 b,7257,0.00406,9.97701,0.0637,M2V,Primary Transit,31.127,0.0901
TOI-700 c,7258,0.0249,16.051998,0.0925,M2V,Primary Transit,31.127,0.2346
TOI-700 d,7259,0.00711,37.426,0.163,M2V,Primary Transit,31.127,0.1062
TOI-712 b,8002,0.0176,9.531361,0.07928,,Primary Transit,58.62,0.1828
TOI-712 c,8003,0.0274,51.69906,0.2447,,Primary Transit,58.62,0.241
TOI-712 d,8004,0.0236,84.8396,0.3405,,Primary Transit,58.62,0.22072
TOI-763 b,7473,0.0308,5.6057,0.06,,Primary Transit,95.39,0.2034
TOI-763 c,7474,0.02932,12.2737,0.1,,Primary Transit,95.39,0.2346
TOI-776 b,7491,0.01466,8.24664,0.0652,M1V,Primary Transit,27.19,0.1633
TOI-776 c,7492,0.0192,15.6653,0.1,M1V,Primary Transit,27.19,0.1838
TOI-824 b,7485,0.058104,1.392978,0.02177,K4V,Primary Transit,63.71,0.26104
TOI-833 b,8106,0.006,1.04318777,0.0171,M0V,Primary Transit,41.7,0.1133
TOI-836 b,8373,0.01425,3.81673,0.0422,,Primary Transit,27.504,0.15202
TOI-836 c,8374,0.0302,8.59545,0.075,,Primary Transit,27.504,0.2308
TOI-849 b,7332,0.12299,0.76552414,0.01598,G,Primary Transit,225.2,0.30726
TOI-892 b,7494,0.95,10.62656,0.092,,Primary Transit,,1.07
TOI-905 b,7256,0.667,3.739494,0.04666,,Primary Transit,159.4,1.171
TOI-942 b,7537,2.599,4.32419,0.04796,,Primary Transit,153.2732,0.4291
TOI-942 c,7538,2.501,10.15643,0.0847,,Primary Transit,153.2732,0.5166
TOI-954 b,7528,0.174,3.6849729,0.04963,,Primary Transit,235.7,0.852
TOI-969 b,8453,0.0286,1.8237305,0.02636,K,Primary Transit,77.83,0.24668
TRAPPIST-1 b,2630,0.0027,1.51087081,0.01111,M8,Primary Transit,12.1,0.09689
TRAPPIST-1 c,2631,0.00434,2.4218233,0.01521,M8,Primary Transit,12.1,0.09421
TRAPPIST-1 d,2632,0.0013,4.04961,0.02144,M8,Primary Transit,12.1,0.0689
TRAPPIST-1 e,6526,0.002,6.099615,0.02817,M8,Primary Transit,12.1,0.0819
TRAPPIST-1 f,6527,0.0021,9.20669,0.0371,M8,Primary Transit,12.1,0.09323
TRAPPIST-1 g,6528,0.00422,12.35294,0.0451,M8,Primary Transit,12.1,0.1005
TRAPPIST-1 h,6529,0.001041,20.0,0.063,M8,Primary Transit,12.1,0.0674
TVLM 513-46546 b,7453,0.38,220.0,0.3,M8.5V,Astrometry,10.706,
TYC 8998-760-1 b,7303,14.0,,162.0,K3IV,Imaging,94.6,3.0
TYC 8998-760-1 c,7447,6.0,,320.0,K3IV,Imaging,94.6,
TrES-1 b,246,0.761,3.0300722,0.0393,K0V,Primary Transit,157.0,1.099
TrES-2 A b,344,1.253,2.4706133738,0.03555,G0V,Primary Transit,220.0,1.189
TrES-3 b,406,1.91,1.30618608,0.0226,G,Primary Transit,,1.305
TrES-4 b,414,0.917,3.5539268,0.05084,F,Primary Transit,479.0,1.706
TrES-5 b,910,1.778,1.4822446,0.02446,,Primary Transit,360.0,1.209
UKIRT-2017-BLG-001 b,6732,1.28,,4.18,,Microlensing,6300.0,
ULAS1335,6815,12.5,,,,Imaging,,
ULASJ0034,6814,12.5,,,,Imaging,,
USco 1556A b,7236,14.0,,3500.0,M3.0,Imaging,141.0,
USco J155150.2-213457,7072,8.0,,,,Imaging,,
WASP-57 b,923,0.8,2.8,,G6,Primary Transit,,1.1
UScoCTIO 108 b,435,14.0,,670.0,M7,Imaging,145.0,
UZ For (AB) b,820,6.3,5800.0,5.9,Catac. var.,Other,,
UZ For (AB) c,861,7.7,1900.0,2.8,Catac. var.,Pulsar,,
V 1298 Tau b,7029,2.2,24.1382,0.1688,K0-K1.5,Primary Transit,108.5,0.8217
V391 Peg b,374,3.2,1170.0,1.7,sdB,Pulsar,1400.0,
WASP-1 b,346,0.947,2.5199448,0.03958,F7V,Primary Transit,,1.514
WASP-10 b,464,3.16,3.0927616,0.0371,K5,Primary Transit,90.0,1.08
WASP-100 b,1428,2.03,2.849375,0.0457,F2,Primary Transit,,1.69
WASP-101 b,1429,0.5,3.585722,0.0506,F6,Primary Transit,,1.41
WASP-102 b,4028,0.624,2.709813,0.0401,G0,Primary Transit,,1.259
WASP-103 b,1499,1.49,0.925542,0.01985,F8V,Primary Transit,470.0,1.528
WASP-104 b,2295,1.272,1.7554137,0.02918,G8,Primary Transit,143.0,1.137
WASP-105 b,6504,1.8,7.87288,0.075,K2,Primary Transit,,0.96
WASP-106 b,2296,1.925,9.289715,0.0917,F9,Primary Transit,283.0,1.085
WASP-107 b,6505,0.12,5.72149,0.055,K6,Primary Transit,,0.94
WASP-108 b,2321,1.167,2.6755463,0.0397,F9,Primary Transit,220.0,1.215
WASP-109 b,2322,0.91,3.3190233,0.0463,F4,Primary Transit,330.0,1.443
WASP-110 b,2323,0.515,3.7783977,0.0457,G9,Primary Transit,320.0,1.238
WASP-111 b,2324,1.85,2.310965,0.03914,F5,Primary Transit,210.0,1.442
WASP-112 b,2325,0.88,3.0353992,0.0382,G6,Primary Transit,450.0,1.191
WASP-113 b,3998,0.475,4.54216874538,0.05885,G1,Primary Transit,360.0,1.409
WASP-114 b,3999,1.769,1.5487743,0.02851,G0,Primary Transit,460.0,1.339
WASP-117 b,2283,0.2755,10.02165,0.09459,F9,Primary Transit,,1.021
WASP-118 b,4020,0.514,4.0460435,0.05453,F6,Primary Transit,380.53,1.44
WASP-119 b,2550,1.23,2.49979,0.0363,G5,Primary Transit,333.0,1.4
WASP-123 b,2441,0.92,2.977641,0.0431,G5,Primary Transit,,1.327
WASP-12 b,459,1.47,1.09141937,0.02344,G0,Primary Transit,432.5,1.9
WASP-120 b,2439,5.06,3.6112706,0.0522,F5,Primary Transit,,1.515
WASP-121 b,2410,1.184,1.2749255,0.02544,F6V,Primary Transit,270.0,1.865
WASP-122 b,2440,1.401,1.7100567,0.03107,G4,Primary Transit,,1.792
WASP-124 b,2551,0.6,3.37265,0.0499,F9,Primary Transit,433.0,1.24
WASP-126 b,2552,0.2841,3.2888,0.0449,G2,Primary Transit,234.0,0.96
WASP-126 c,7158,0.202,7.63,,G2,TTV,234.0,
WASP-127 b,4008,0.18,4.178062,0.052,G5,Primary Transit,,1.37
WASP-129 b,2553,1.0,5.748145,0.0628,G1,Primary Transit,246.0,0.93
WASP-13 b,466,0.485,4.353011,0.05379,G1V,Primary Transit,156.0,1.365
WASP-130 b,2614,1.23,11.55098,0.1012,G6,Primary Transit,180.0,0.89
WASP-131 b,2615,0.27,5.322023,0.0607,G0,Primary Transit,250.0,1.22
WASP-132 b,2616,0.41,7.133514,0.067,K4,Primary Transit,120.0,0.8966
WASP-133 b,2554,1.16,2.176423,0.0345,G4,Primary Transit,457.0,1.21
WASP-134 b,6967,1.412,10.1467583,0.0956,G4,Primary Transit,195.0,0.988
WASP-135 b,2471,1.9,1.4013794,0.0243,G5,Primary Transit,300.0,1.3
WASP-136 b,4009,1.51,5.215357,0.0661,,Primary Transit,164.0,1.38
WASP-137 b,6968,0.681,3.9080284,0.0519,G0,Primary Transit,289.0,1.27
WASP-138 b,4010,1.22,3.634433,0.0494,F9,Primary Transit,308.0,
WASP-139 b,2617,0.117,5.924262,0.062,K0,Primary Transit,230.0,0.8
WASP-14 b,467,7.341,2.2437661,0.036,F5V,Primary Transit,160.0,1.281
WASP-140 b,2618,2.44,2.2359835,0.0323,K0,Primary Transit,180.0,1.44
WASP-141 b,2619,2.69,3.310651,0.0469,F9,Primary Transit,570.0,1.21
WASP-142 b,2620,0.84,2.052868,0.0347,F8,Primary Transit,840.0,1.53
WASP-143 b,6969,0.725,3.778873,0.049,G1,Primary Transit,402.0,1.234
WASP-144 b,6729,0.44,2.2783152,0.0316,K2V,Primary Transit,,0.85
WASP-145 A b,6728,0.89,,0.0261,K2V,Primary Transit,,0.9
WASP-146 b,6970,1.11,3.396944,0.0451,G0,Primary Transit,495.0,1.228
WASP-147 b,6783,0.275,4.60273,0.0549,G4,Primary Transit,426.0,1.115
WASP-148 b,7395,0.287,8.80345,0.08215,,Primary Transit,248.1,0.756
WASP-15 b,468,0.542,3.7520656,0.0499,F7,Primary Transit,308.0,1.428
WASP-150 b,7383,8.46,5.644207,0.0694,,Primary Transit,536.0,1.07
WASP-151 b,6663,0.31,4.533471,0.055,G1,Primary Transit,480.0,1.13
WASP-153 b,6664,0.39,3.332609,0.048,G0,Primary Transit,430.0,1.55
WASP-156 b,6665,0.1303,3.8361603,0.0451,K3,Primary Transit,140.0,0.554
WASP-157 b,2598,0.576,3.951623,0.0499,G2 V,Primary Transit,337.71,0.998
WASP-158 b,6727,2.79,,0.0517,F6V,Primary Transit,,1.07
WASP-159 b,6726,0.55,3.840401,0.0538,F9,Primary Transit,,1.38
WASP-16 b,562,0.855,3.1186009,0.0421,G3V,Primary Transit,,1.008
WASP-160 B b,6784,0.281,3.768495,0.0455,K0V,Primary Transit,,1.093
WASP-161 b,6774,2.49,5.4060425,0.0673,F6,Primary Transit,,1.143
WASP-162 b,6725,5.2,9.62468,0.0871,K0,Primary Transit,,1.0
WASP-163 b,6775,1.87,1.6096884,0.0266,G8,Primary Transit,,1.202
WASP-164 b,6785,2.13,1.7771255,0.02818,G2V,Primary Transit,,1.128
WASP-165 b,6786,0.658,3.465509,0.04823,G6,Primary Transit,,1.26
WASP-166 b,6893,0.102,5.44354215,0.0668,F9,Primary Transit,113.0,0.6155
WASP-167 b,6585,8.0,2.0219591,0.0365,F1 V,Primary Transit,381.0,1.51
WASP-168 b,6724,0.42,4.153658,0.0519,F9V,Primary Transit,,1.5
WASP-169 b,7095,0.561,5.6114118,0.0681,,Primary Transit,638.0,1.304
WASP-17 b,566,0.486,3.735438,0.0515,F4,Primary Transit,,1.991
WASP-170 b,6776,1.6,2.34478022,0.0337,G1,Primary Transit,,1.096
WASP-171 b,7096,1.084,3.8186244,0.0504,,Primary Transit,774.0,0.988
WASP-172 b,6723,0.47,5.477433,0.0694,F1V,Primary Transit,,1.57
WASP-174 b,6697,0.33,4.2337005,0.05503,F6V,Primary Transit,,1.437
WASP-175 b,7097,0.99,3.0652907,0.044,,Primary Transit,584.0,1.208
WASP-176 b,7384,0.855,3.899052,0.0535,,Primary Transit,578.0,1.505
WASP-177 b,7051,0.508,3.071722,0.03957,K2,Primary Transit,178.0,1.58
WASP-178 b,7170,1.41,3.3448285,0.0558,A1IV-V,Primary Transit,417.0,1.94
WASP-18 b,577,10.4296,0.9414518,0.02047,F6,Primary Transit,100.0,1.165
WASP-18 c,7157,0.1737,2.1558,,F6,TTV,100.0,
WASP-180 A b,7108,0.8,3.409265,0.048,F7 V-V,Primary Transit,255.8,1.29
WASP-181 b,7052,0.299,4.5195064,0.05427,G2,Primary Transit,443.0,1.184
WASP-182 b,7098,0.148,3.3769848,0.0451,,Primary Transit,331.0,0.85
WASP-183 b,7053,0.502,4.1117771,0.04632,G9/K0,Primary Transit,328.0,1.47
WASP-184 b,7169,0.57,5.1817,0.0627,G0,Primary Transit,640.0,1.33
WASP-185 b,7168,0.98,9.38755,0.0904,G0,Primary Transit,,1.25
WASP-186 b,7499,4.22,5.026799,0.06,,Primary Transit,280.0,1.11
WASP-187 b,7500,0.8,5.147878,0.0653,,Primary Transit,376.0,1.64
WASP-189 b,6871,1.99,2.724033,0.05053,A6IV-V,Primary Transit,99.0,1.619
WASP-19 b,525,1.139,0.78884,0.016634,G8V,Primary Transit,,1.41
WASP-190 b,6890,1.0,5.367753,0.0663,F6-IV-V,Primary Transit,555.0,1.15
WASP-192 b,7167,2.3,2.8786765,0.0408,G0,Primary Transit,,1.23
WASP-2 A b,347,0.847,2.15222144,0.03138,K1V,Primary Transit,144.0,1.079
WASP-20 A b,914,0.313,4.8996285,0.06003,,Primary Transit,210.0,1.459
WASP-21 b,666,0.3,4.3225126,0.052,G3V,Primary Transit,230.0,1.21
WASP-22 b,663,0.617,3.5327313,0.04698,,Primary Transit,300.0,1.199
WASP-23 b,784,0.884,2.9444256,0.0376,K1V,Primary Transit,,0.962
WASP-24 b,667,1.071,2.3412127,0.03651,F8-9,Primary Transit,332.5,1.3
WASP-25 b,668,0.58,3.76483,0.0474,G4,Primary Transit,169.0,1.26
WASP-26 b,664,1.028,2.7566004,0.03985,G0,Primary Transit,250.0,1.281
WASP-28 b,669,0.907,3.40883,0.04469,F8-G0,Primary Transit,410.0,1.213
WASP-29 b,670,0.243,3.92271218,0.047,K4V,Primary Transit,80.0,0.775
WASP-3 b,432,2.06,1.8468372,0.0313,F7V,Primary Transit,223.0,1.454
WASP-31 b,707,0.478,3.405909,0.04657,F,Primary Transit,400.0,1.537
WASP-32 b,749,3.6,2.71865,0.0394,G,Primary Transit,,1.18
WASP-33 b,671,2.8,1.21986967,0.02558,A5,Primary Transit,116.0,1.603
WASP-34 b,783,0.59,4.3176782,0.0524,G5,Primary Transit,120.0,1.22
WASP-35 b,817,0.72,3.161575,0.04317,,Primary Transit,,1.32
WASP-36 b,706,2.279,1.5373653,0.02624,G2,Primary Transit,450.0,1.269
WASP-37 b,725,1.8,3.577471,0.04339,G2,Primary Transit,338.0,1.16
WASP-38 b,747,2.712,6.871815,0.07551,F8,Primary Transit,110.0,1.079
WASP-39 b,818,0.28,4.055259,0.0486,G8,Primary Transit,230.0,1.27
WASP-4 b,433,1.1974,1.338231602,0.02312,G8,Primary Transit,300.0,1.3846
WASP-41 b,782,0.94,3.052404,0.04,G8V,Primary Transit,180.0,1.18
WASP-42 b,915,0.5,4.9816872,0.0458,,Primary Transit,,1.08
WASP-43 b,841,2.052,0.81347753,0.01526,K7V,Primary Transit,,1.036
WASP-44 b,849,0.889,2.4238039,0.03473,G8V,Primary Transit,,1.14
WASP-45 b,850,1.007,3.1260876,0.04054,K2V,Primary Transit,,1.16
WASP-46 b,851,2.101,1.43037,0.02448,G6V,Primary Transit,,1.31
WASP-47 b,916,1.14243,4.1591289,0.052,G9V,Primary Transit,266.69,1.127
WASP-47 c,2445,1.31,596.0,1.41,G9V,Radial Velocity,266.69,
WASP-47 d,2426,0.04122,9.03077,0.088,G9V,Primary Transit,266.69,0.319
WASP-47 e,2425,0.02149,0.789592,0.0173,G9V,Primary Transit,266.69,0.161
WASP-48 b,839,0.98,2.143634,0.03444,,Primary Transit,,1.67
WASP-49 A b,917,0.378,2.7817387,0.0378,,Primary Transit,170.0,1.115
WASP-5 b,434,1.637,1.6284246,0.02729,G5,Primary Transit,297.0,1.171
WASP-50 b,885,1.437,1.9550959,0.02913,G9,Primary Transit,230.0,1.138
WASP-52 b,918,0.46,1.7497798,0.0272,K2V,Primary Transit,140.0,1.27
WASP-53 b,919,2.132,3.3098443,0.04101,K3,Primary Transit,235.0,1.074
WASP-54 b,920,0.6,3.7,,,Primary Transit,,1.4
WASP-55 b,921,0.61,4.46563,0.0533,G1,Primary Transit,299.97,1.33
WASP-56 b,922,0.6,4.6,,,Primary Transit,,1.2
WASP-58 b,924,0.89,5.01718,0.0561,G2V,Primary Transit,300.0,1.37
WASP-59 b,925,0.863,7.919585,0.0697,K5V,Primary Transit,125.0,0.775
WASP-6 b,460,0.503,3.361006,0.0421,G8,Primary Transit,307.0,1.224
WASP-60 b,926,0.5,4.3,,G1V,Primary Transit,400.0,0.9
WASP-61 b,927,2.06,3.8559,0.0514,F7,Primary Transit,480.0,1.24
WASP-62 b,928,0.57,4.411953,0.0567,F7,Primary Transit,160.0,1.39
WASP-63 b,929,0.38,4.37809,0.0574,G8,Primary Transit,330.0,1.43
WASP-64 b,930,1.2,1.6,,,Primary Transit,,0.7
WASP-65 b,931,1.55,2.3114243,0.0334,G6,Primary Transit,310.0,1.112
WASP-66 b,932,2.32,4.086052,0.0546,F4,Primary Transit,380.0,1.39
WASP-67 b,933,0.42,4.61442,0.0517,K0V,Primary Transit,225.0,1.4
WASP-68 b,934,0.95,5.084298,0.06206,G2,Primary Transit,,1.24
WASP-69 b,935,0.26,3.8681382,0.04525,K5,Primary Transit,50.0,1.057
WASP-7 b,461,0.96,4.9546416,0.0617,F5V,Primary Transit,140.0,1.33
WASP-70 A b,936,0.59,3.7130203,0.04853,G4,Primary Transit,245.0,1.164
WASP-71 b,1225,2.258,2.9036747,0.04631,F8,Primary Transit,200.0,1.5
WASP-72 b,1317,1.461,2.2167421,0.03708,F7,Primary Transit,,1.27
WASP-73 b,1484,1.88,4.08722,0.05512,F9,Primary Transit,,1.16
WASP-74 b,2389,0.826,2.13775138,0.03443,F9,Primary Transit,120.0,1.248
WASP-75 b,1325,1.07,2.484193,0.0375,F9,Primary Transit,260.0,1.27
WASP-76 b,1420,0.92,1.809886,0.033,F7,Primary Transit,195.3,1.83
WASP-77 A b,1228,1.76,1.3600309,0.024,G8V,Primary Transit,,1.21
WASP-78 b,1132,0.89,2.17517656,0.0415,F8,Primary Transit,550.0,1.7
WASP-79 b,1133,0.9,3.6623817,0.0539,F3,Primary Transit,240.0,1.7
WASP-8 b,462,2.244,8.158715,0.0801,G6,Primary Transit,87.0,1.038
WASP-80 b,1250,0.554,3.0678504,0.0346,K7V,Primary Transit,60.0,0.952
WASP-81 b,4085,0.729,2.7164762,0.03908,G1,Primary Transit,410.0,1.429
WASP-82 b,1422,1.24,2.705782,0.0447,F5,Primary Transit,200.0,1.67
WASP-83 b,2390,0.3,4.071252,0.059,G8,Primary Transit,300.0,1.04
WASP-84 b,1430,0.694,8.5234865,0.0771,K0,Primary Transit,120.0,0.942
WASP-85 A b,2248,1.265,2.6556777,0.039,G8,Primary Transit,,1.24
WASP-87 A b,2320,2.21,1.682795,0.02946,F5,Primary Transit,240.0,1.385
WASP-88 b,1485,0.56,4.954,0.06431,F6,Primary Transit,,1.7
WASP-89 b,2391,5.9,3.3564227,0.0427,K3,Primary Transit,,1.04
WASP-90 b,1421,0.63,3.916243,0.0562,F6,Primary Transit,340.0,1.63
WASP-91 b,6503,1.34,2.798581,0.037,K3,Primary Transit,,1.03
WASP-92 b,3992,0.805,2.1746742,0.0348,F7,Primary Transit,530.0,1.461
WASP-93 b,4019,1.47,2.7325321,0.04211,F4,Primary Transit,250.0,1.597
WASP-94 A b,2307,0.452,3.9501907,0.055,F8,Primary Transit,,1.72
WASP-95 b,1423,1.206,2.1846656,0.0312,G2,Primary Transit,,1.098
WASP-96 b,1424,0.48,3.4252602,0.0453,G8,Primary Transit,,1.2
WASP-97 b,1425,1.32,2.07276,0.03303,G5,Primary Transit,,1.13
WASP-98 b,1426,0.83,2.96264,0.036,G7,Primary Transit,,1.1
WASP-99 b,1427,2.78,5.75251,0.0717,F8,Primary Transit,,1.1
WD 0806-661 B b,828,8.0,,2500.0,DQ D,Imaging,19.2,
WD 1145+017 b,2456,2.1e-06,0.1875,,WD,Primary Transit,174.0,
WISE 0855-0714,3930,6.0,,,,Imaging,,
WISE 1828+2650,6535,10.25,,,,Imaging,,
WISE J0458+6434 B,7165,14.0,15500.0,4.0,,Astrometry,,
WISE J1355-8258 b,6872,9.0,,,sdL5,Imaging,16.7,
WISE J2216+1952,8087,5.0,,,,Imaging,,1.32
WISEA J083011.95+283716.0,7394,8.5,,,,Imaging,,
WTS-1 b,1207,4.01,3.352059,0.047,,Primary Transit,3200.0,1.49
WTS-2 b,1415,1.12,1.0187074,0.01855,K3V,Primary Transit,1000.0,1.3
Wendelstein-1 b,7411,0.59,2.663416,0.0282,,Primary Transit,304.0,1.0
Wendelstein-2 b,7412,0.73,1.7522239,0.0234,,Primary Transit,575.0,1.0
XO-1 b,329,0.9,3.9415128,0.0488,G1V,Primary Transit,200.0,1.184
XO-2N b,399,0.62,2.615838,0.0369,K0V,Primary Transit,149.0,0.973
XO-3 b,400,11.79,3.1915239,0.0454,F5V,Primary Transit,260.0,1.217
XO-4 b,477,1.616,4.12473,0.05485,F5V,Primary Transit,293.0,1.317
XO-5 b,476,1.077,4.1877537,0.0487,G8V,Primary Transit,255.0,1.03
XO-6 b,4076,1.9,3.7650007,0.0815,F5,Primary Transit,86.0,2.07
XO-7 b,7233,0.709,2.8641424,0.04421,GOV,Primary Transit,234.1,1.373
XTE J1807-294 b,6958,14.5,0.0278292,,,Pulsar,5500.0,
YSES 2 b,7830,6.3,,114.0,K1V,Imaging,109.25,
ZTFJ0220+21 b,7962,14.0,0.037,,WD,Primary Transit,350.0,0.54
b Cen b,8030,10.9,1800000.0,556.0,B3V,Imaging,99.7,
beta Pic b,521,11.9,7707.0,9.93,A6V,Imaging,19.3,1.65
beta Pic c,7175,8.89,1227.0,2.68,A6V,Radial Velocity,19.3,1.2
eps Eridani b,73,0.65,2671.0,3.53,K2 V,Radial Velocity,3.2,
eps Ind A b,6731,3.25,16509.0,11.55,K2V,Radial Velocity,3.62,
kappa And b,1226,13.0,215000.0,100.0,B9IV,Imaging,50.0,1.2
mu2 Sco b,8201,14.4,,242.4,B2IV,Imaging,169.5,
pi Men b,83,12.6,2088.33,3.308,G0V,Radial Velocity,18.37,
pi Men c,6825,0.01142,6.267852,0.06702,G0V,Primary Transit,18.37,0.16719
tau Boo A b,7,5.84,3.31249,0.046,F7 V,Radial Velocity,15.6,1.06
ups And b,13,0.62,4.61711,0.059,F8 V,Radial Velocity,13.47,
ups And c,14,9.1,240.937,0.861,F8 V,Radial Velocity,13.47,
